Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
APA,,8,62.50%,3.9,4.5,2.8,6.3,8.5,465,72.10%,29.8,774,1.09,0.43,0.18,0.11,1103,8,390,12.50%,12.50%,0,1
Armao,,15,60%,4.5,2.5,2.3,7.9,4.9,335,81%,13.8,296,1.17,0.3,0.21,0.22,-64,-5,-101,40%,13.30%,0,1
Berserker,,19,73.70%,8.2,3.5,1.1,5.6,9.6,454,64.10%,22.2,506,1.33,0.5,0.3,0.15,254,9,163,21.10%,5.30%,0,-
Blaber,,19,73.70%,5.6,3.3,1.9,7.5,7.1,405,74.50%,20.1,462,1.76,0.4,0.42,0.27,603,17,705,36.80%,0%,0,4
Bolulu,,18,27.80%,2.9,2.4,2.7,5.2,8.2,372,74.30%,27.5,583,0.94,0.47,0.11,0.2,-610,-9,-131,11.10%,11.10%,0,3
Bugi,,18,44.40%,3.5,2.1,2.7,7.3,5.1,324,84%,16.7,320,1.34,0.38,0.3,0.25,-196,-11,-323,55.60%,5.60%,0,-
Busio,,19,36.80%,2.7,0.4,2.5,6.5,0.9,223,77%,6.7,124,3.03,1.71,0.28,0.42,-216,1,-148,10.50%,10.50%,0,-
Chime,,18,44.40%,4.2,0.6,2.1,8.1,1,228,73.70%,7.7,142,3.12,1.7,0.32,0.38,-17,-1,-32,38.90%,0%,0,-
Closer,,19,36.80%,2.7,1.4,2.1,4.3,5.2,310,60.30%,12.7,247,1.37,0.34,0.33,0.23,-398,1,-67,5.30%,5.30%,0,1
Contractz,,18,50%,3.4,2,3.1,8.7,5.2,329,72.90%,15.2,342,1.54,0.34,0.41,0.26,49,2,118,38.90%,11.10%,0,1
CoreJJ,,18,55.60%,4.9,0.6,2.2,10.2,0.9,250,69.70%,6,148,3.36,1.69,0.41,0.43,168,-1,119,33.30%,0%,0,-
Dhokla,,18,50%,2.7,2.4,3,5.7,7.6,376,57.50%,20.9,458,0.94,0.39,0.17,0.16,-564,-13,-277,22.20%,11.10%,0,3
Diamond,,12,50%,2,0.7,4.3,7.8,1.1,231,68.20%,4.8,104,2.97,1.57,0.36,0.42,-147,7,4,16.70%,8.30%,0,-
Doublelift,,19,36.80%,3,3.4,2.3,3.5,10.4,451,77.10%,28.6,546,1.28,0.38,0.38,0.13,-126,2,68,15.80%,15.80%,0,4
EMENES,,19,73.70%,5.7,3.5,1.8,6.7,9,446,72%,27.5,614,1.19,0.45,0.26,0.18,156,-2,17,26.30%,21.10%,0,5
Eyla,,18,66.70%,4.5,0.4,2.6,11.1,1,244,80.50%,6.1,137,2.94,1.41,0.39,0.44,-161,-2,-5,27.80%,5.60%,0,-
FBI,,18,50%,3.5,5,2.9,5.3,9.2,438,68.30%,29.1,667,1.05,0.41,0.24,0.16,11,-5,-128,11.10%,22.20%,1,1
Fudge,,19,73.70%,4.1,3.3,2.1,5.1,8.5,410,62.40%,23.2,519,1.03,0.45,0.14,0.16,61,2,31,10.50%,5.30%,0,3
Gori,,19,68.40%,4.4,4.1,2.3,5.8,8.9,434,66%,29.2,687,1.09,0.37,0.25,0.17,346,9,174,36.80%,10.50%,1,7
Haeri,,10,50%,3.7,3,2.4,5.8,8.4,398,59.20%,24,607,1.1,0.39,0.26,0.15,461,5,333,10%,10%,0,-
Hauntzer,,18,44.40%,2.5,1.6,2.3,4.2,8.4,378,47.80%,21.2,398,1.14,0.48,0.2,0.18,-307,-5,-30,5.60%,22.20%,0,2
Huhi,,19,68.40%,3.4,0.9,3,9.2,1.1,245,63.30%,6.5,150,3.54,1.74,0.44,0.46,148,5,-15,26.30%,10.50%,0,2
IgNar,,18,50%,4.4,0.6,2.4,10.2,0.8,231,68.40%,5.4,124,3.35,1.96,0.35,0.59,53,-1,-146,16.70%,5.60%,0,-
Impact,,18,33.30%,2.6,2.3,2.5,4.3,7.7,367,53.90%,23.2,476,0.93,0.34,0.17,0.16,141,1,270,22.20%,5.60%,0,11
Insanity,,15,53.30%,3,4.5,2.7,3.8,8.5,406,66.30%,29.4,588,1.03,0.42,0.17,0.18,-175,-6,-85,33.30%,13.30%,0,2
Jensen,,19,42.10%,3.8,3.7,2.4,5.4,9,423,75.30%,29.9,658,1.13,0.36,0.25,0.13,-359,-1,-37,15.80%,15.80%,1,4
Kenvi,,18,27.80%,2.1,1.1,3.7,6.7,5,302,67.90%,14.2,290,1.67,0.46,0.47,0.34,-648,-7,-417,27.80%,5.60%,0,-
